Timestamp,Cryptocurrency,Open,High,Low,Close
2020-03-31 23:00:00,ETHUSDT,133.53,133.7,132.71,132.72
2020-04-01 00:00:00,ETHUSDT,132.72,133.36,130.85,132.02
2020-04-01 01:00:00,ETHUSDT,132.0,132.39,131.44,131.52
2020-04-01 02:00:00,ETHUSDT,131.56,132.36,131.31,132.34
2020-04-01 03:00:00,ETHUSDT,132.31,133.13,132.23,132.84
2020-04-01 04:00:00,ETHUSDT,132.87,133.2,132.61,132.71
2020-04-01 05:00:00,ETHUSDT,132.71,132.84,131.81,132.0
2020-04-01 06:00:00,ETHUSDT,131.98,132.52,131.66,132.18
2020-04-01 07:00:00,ETHUSDT,132.19,132.58,131.9,132.42
2020-04-01 08:00:00,ETHUSDT,132.41,132.43,131.57,132.0
2020-04-01 09:00:00,ETHUSDT,132.02,132.23,131.4,132.13
2020-04-01 10:00:00,ETHUSDT,132.11,132.36,131.76,131.9
2020-04-01 11:00:00,ETHUSDT,131.91,132.3,131.59,132.3
2020-04-01 12:00:00,ETHUSDT,132.3,133.25,131.27,131.39
2020-04-01 13:00:00,ETHUSDT,131.36,131.6,130.37,130.7
2020-04-01 14:00:00,ETHUSDT,130.75,131.69,130.48,131.55
2020-04-01 15:00:00,ETHUSDT,131.57,131.61,130.92,131.1
2020-04-01 16:00:00,ETHUSDT,131.08,131.08,128.62,129.34
2020-04-01 17:00:00,ETHUSDT,129.34,129.84,129.04,129.6
2020-04-01 18:00:00,ETHUSDT,129.59,129.93,129.36,129.43
2020-04-01 19:00:00,ETHUSDT,129.45,130.09,128.95,129.94
2020-04-01 20:00:00,ETHUSDT,129.93,132.63,129.63,131.74
2020-04-01 21:00:00,ETHUSDT,131.75,132.54,131.42,131.72
2020-04-01 22:00:00,ETHUSDT,131.72,134.68,131.72,133.3
2020-04-01 23:00:00,ETHUSDT,133.34,136.99,133.07,135.69
2020-04-02 00:00:00,ETHUSDT,135.65,139.23,135.55,136.0
2020-04-02 01:00:00,ETHUSDT,136.0,136.81,135.01,135.17
2020-04-02 02:00:00,ETHUSDT,135.15,136.29,135.11,135.98
2020-04-02 03:00:00,ETHUSDT,135.98,136.38,135.44,136.31
2020-04-02 04:00:00,ETHUSDT,136.3,136.92,135.7,135.9
2020-04-02 05:00:00,ETHUSDT,135.88,136.2,135.57,136.17
2020-04-02 06:00:00,ETHUSDT,136.16,137.22,135.9,137.2
2020-04-02 07:00:00,ETHUSDT,137.21,137.84,136.68,137.37
2020-04-02 08:00:00,ETHUSDT,137.38,137.73,136.47,137.3
2020-04-02 09:00:00,ETHUSDT,137.3,137.38,136.7,136.81
2020-04-02 10:00:00,ETHUSDT,136.85,138.0,136.8,137.12
2020-04-02 11:00:00,ETHUSDT,137.12,137.96,136.67,137.64
2020-04-02 12:00:00,ETHUSDT,137.67,138.63,136.7,137.28
2020-04-02 13:00:00,ETHUSDT,137.28,137.44,136.11,136.48
2020-04-02 14:00:00,ETHUSDT,136.49,139.8,136.31,138.94
2020-04-02 15:00:00,ETHUSDT,138.91,139.7,138.04,139.29
2020-04-02 16:00:00,ETHUSDT,139.3,143.59,139.05,143.48
2020-04-02 17:00:00,ETHUSDT,143.48,149.76,143.45,145.41
2020-04-02 18:00:00,ETHUSDT,145.43,145.73,140.0,140.45
2020-04-02 19:00:00,ETHUSDT,140.44,142.41,139.4,140.85
2020-04-02 20:00:00,ETHUSDT,140.85,141.16,138.12,140.5
2020-04-02 21:00:00,ETHUSDT,140.5,142.91,140.01,142.41
2020-04-02 22:00:00,ETHUSDT,142.4,142.94,140.69,142.33
2020-04-02 23:00:00,ETHUSDT,142.36,142.36,140.02,141.28
2020-04-03 00:00:00,ETHUSDT,141.27,141.85,140.7,140.91
2020-04-03 01:00:00,ETHUSDT,140.85,142.32,140.32,142.15
2020-04-03 02:00:00,ETHUSDT,142.16,142.65,141.43,142.35
2020-04-03 03:00:00,ETHUSDT,142.36,142.74,141.46,141.55
2020-04-03 04:00:00,ETHUSDT,141.55,141.93,141.14,141.76
2020-04-03 05:00:00,ETHUSDT,141.74,141.93,141.0,141.69
2020-04-03 06:00:00,ETHUSDT,141.73,142.68,141.35,142.14
2020-04-03 07:00:00,ETHUSDT,142.14,145.1,142.05,144.65
2020-04-03 08:00:00,ETHUSDT,144.64,145.55,142.85,144.01
2020-04-03 09:00:00,ETHUSDT,144.06,145.38,143.37,144.89
2020-04-03 10:00:00,ETHUSDT,144.9,146.43,144.13,146.24
2020-04-03 11:00:00,ETHUSDT,146.22,146.72,144.54,146.15
2020-04-03 12:00:00,ETHUSDT,146.14,146.5,142.98,144.84
2020-04-03 13:00:00,ETHUSDT,144.81,144.92,143.0,143.27
2020-04-03 14:00:00,ETHUSDT,143.3,143.65,140.17,141.76
2020-04-03 15:00:00,ETHUSDT,141.79,142.74,140.5,141.39
2020-04-03 16:00:00,ETHUSDT,141.37,141.74,137.26,141.0
2020-04-03 17:00:00,ETHUSDT,141.0,142.22,139.51,140.72
2020-04-03 18:00:00,ETHUSDT,140.7,141.83,139.84,141.61
2020-04-03 19:00:00,ETHUSDT,141.64,142.38,141.27,142.32
2020-04-03 20:00:00,ETHUSDT,142.31,142.76,140.32,140.6
2020-04-03 21:00:00,ETHUSDT,140.59,142.09,139.69,141.12
2020-04-03 22:00:00,ETHUSDT,141.12,141.99,140.55,141.86
2020-04-03 23:00:00,ETHUSDT,141.84,142.26,141.14,141.31
2020-04-04 00:00:00,ETHUSDT,141.3,141.87,140.68,141.34
2020-04-04 01:00:00,ETHUSDT,141.35,142.27,141.13,141.37
2020-04-04 02:00:00,ETHUSDT,141.36,141.39,139.64,139.72
2020-04-04 03:00:00,ETHUSDT,139.71,140.24,138.88,139.73
2020-04-04 04:00:00,ETHUSDT,139.73,140.8,139.31,140.33
2020-04-04 05:00:00,ETHUSDT,140.34,141.05,140.06,140.12
2020-04-04 06:00:00,ETHUSDT,140.13,140.98,139.86,140.74
2020-04-04 07:00:00,ETHUSDT,140.75,141.37,140.68,140.98
